NDS;DESCRICAO DO SERVICO
492810;FAVOR GERAR NDS PARA SEXTO AEREO REALIZAR EMENDA DE CABO CA 2AWG NA PARTE URBANA, NO PS 775015233 LOCAL LIVRE ACESSO, TRECHO FICOU ISOLADO PELA CH 7318 E A CHAVE 1308, 5 A 7 MTRS DE CABO,  [PS=775015233 V4X4=NAO  CESTO=SIM  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=775015233,EMENDAR CONDUTOR(ES=1  [PS=775015233,7-CABO AL NU 2 AWG  ]
492811;GERAR NDS PRA MANUTENSAO FAZER EMENDA DE CABO NO PS 774958317 FOI ABERTO GLV DA DERIVASAO DIFICIO ACESSO,  [PS=774958317 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=SIM  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=NAO   TODAREDEINSP=SIM  FONTESUB=SIM]  PS=774958317,EMENDAR CONDUTOR(ES=3  [PS=774958317,15-CABO  AL NU CAA  4 AWG - COM ALMA  ]
492812;NDS PARA EMENDAR CABO 3X2.25MM  NA CR 05958 PS 627226575 FICOU ABERTA NO LOCAL (SERVICO DE EMERGENCIA)
492813;FAVOR GERAR NDS PARA EQUIPE DE MANUTENCAO RETIRAR ARVORE DE GRANDE PORTE DE CIMA DA REDE, NAO CHEGOU ROMPER OS CABOS, MAIS E NECESSARIO RETENCIONAR, AVALIAR SE NECESSARIO RENAIXAR CRUZETAS DO PS 943887157,FAZER ROCADA APROXIMADAMENTE 100 METROS DE ROCADA ,LOCAL DE DICIL ACESSO ,FICOU ABERTA A CHAVE 9732 PORTA FUSIVEL NO PE DO POSTE , LOCAL DO DEFEITO ENTRE OS PS 943887157 E O PS 943887154,  [PS=943887157 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=943887157,CORTAR ARVORE COM MOTOSSERRA=1  [PS=943887157,1-CABO  AL NU CAA  4 AWG - COM ALMA  ]
492814;GERAR NDS PARA MANUTENCAO EMENDAR VAO DE 130 METROS DE CABO CAA4AWG CORTAR ALGUMAS ARVORES PEGANDO NA REDE E APRUMAR PS 794913522 O MESMO CEDEU QUANDO ROMPEU O CABO CABO ROMPIDO DESSE PS AO TR D1176 CF 06509 FICOU ABERTA CARTUCHO NO PE DO POSTE ACESSO NA ROCA 30 METROS DA ESTRADA NAO E MUITO RUIM DE CHEGAR ,A CAMINHONETE VAI NO PE DO POSTE,  [PS=794913522 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=NAO  FONTESUB=NAO]  PS=794913522,EMENDAR CONDUTOR(ES=1 PS=794913522,APRUMAR POSTE=1  
492815;GERAR NDS PARA MANUTENCAO VIR EMENDAR CABO CAA4AWG, TRAZER UNS 30 METROS DE CABO DEVIDO CABO TER CAIDO NO CHAO E COZINHOU, TAMBEM APRUMAR PS 612300035, DEVIDO SER NOITE NAO CONSEGUIMOS VERIFICAR SE TEM ACESSP PARA VEICULO,  [PS=612300035 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=SIM]  PS=612300035,EMENDAR CONDUTOR(ES=1  [PS=612300035,30-CABO  AL NU CAA  4 AWG - COM ALMA  ]
492816;REFAZER JAMPER FASE B,  [PS=583240638 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=583240638,REFAZER JUMPER=1  
492817;EMENDAR CONDUTOR DE BT NO CRUZAMENTO 561553747, TEM NDS NO MESMO LOCAL POSTE QUEBRADO ALIM TORRES FAZER JUNTO SE POSSIVEL, TR F3834 FICOU ABERTO NO LOCAL,  [PS=561553747 V4X4=SIM  CESTO=SIM  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=SIM  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=561553747,EMENDAR CONDUTOR(ES=1  [PS=561553747,1-CABO  AL NU 2/0 AWG  ]
492818;NDS PRA RETIRAR ARVORE DE GRANDE DE CIMA DA MT 34,5KV PROXIMO AO PS 774980468 E PLUMA PS
492819;FAVOR GERAR NDS PRA EQUIPE DE OBRA DO PROJETO FAZER EMENDA DE CABO 336 COM 7 VAO NO CHAO , COM RISCO DE CAIR NA ESTRADA DEASFALTO , ESTAVA COM RISCO DE CAIR ENCIMA DO TROCO DO ALIMENTADOR CAMELIA FOI MANOBRA O MESMO DEIXANDO DESLIGADO , ABERTAS AS CHAVES DA REDE DE 13, 7567 LA 18254 SU 7185 LA , ECHAVES DA REDE 34 9868 SU 26523 , NA SAIDO DO RA NA SERLZ, NAO FOI EMPLACADA NENHUMA DAS CHAVES ,,,LOCAL DE DIFICIL ACESSO ,SOMENTE FAZER DE DIA , FAZER A APR PRA EXECUTAR A EMENDA DE CABO TEM UMA REDE DE13 QUE ESTA QUENTE NA CH18254.,    [PS=612320659,1-CRUZETA DE CONCRETO TIPO  T   PS=612320659,1-ISOL PILAR PORCELANA 35 KV  PS=612320659,3-CABO  AL NU 336  ]
492820;CABO ROMPIDO NESSESARIO FAZER DURANTE O DIA TEM QUE FZER ROCADA EQUIPE SEM MATERIAL PARA EXECUTAR O SERVICO DIFICIL ASCESSO TEM QUE IR APE ATE O LOCAL,  [PS=789230952 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=789230952,FAZER ROCADA=15  [PS=789230952,10-CABO NU 4/0 CAA - COM ALMA  ]
492821;CHAVE NA REDE AINDA NAO CONSTA PRA NOS NO GPS MAS A CHAVE E A 8324024795 BAMBU ABRACA OS CABOS,  [PS=562865394 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=SIM  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=562865394,SUBSTITUIR CHAVE UNIPOLAR=1 PS=562865394,CORTAR CERCA VIVA/BAMBU=1  
492823;FAVOR GERAR NDS PARA REFAZER CRUZAMENTO AEREO NO PS 550537110 LOCAL DE FACIL ACESSO REDE MANOBRADA,  [PS=550537110 V4X4=SIM  CESTO=SIM  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=NAO  FONTESUB=NAO]  PS=550537110,REFAZER CRUZAMENTO AEREO=1  
492824;NDS PARA REFAZER OS 2 ATERRAMENTOS DO TR L6187 AMBOS ROMPIDOS , DIFICIL ACESSO AGORA A NOITE EQUIPE TRBALHANDO DESDE AS 7 , SE POSSIVEL PRIORIZAR CONSUMIDOR COM VACA DE LEITE.,  [PS=780253798 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=780253798,REFAZER ATERRAMENTO=2  
492827;GERAR NDS PARA EMENDAR CABO AT NO PS 949778488, FOI ABERTO JUMPER DA DERIVACAO, FICOU FORA SO O TR 83240P0568 TRIP 04287 FECHADA AS 00.27,  [PS=949778488 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=SIM  RISCOACID=SIM  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=949778488,EMENDAR CONDUTOR(ES=1  
492830;GERADA NDS P EMENDA DE CONDUTOR NO PS INDICADO, REDD FOI MANOBRADA.,  [PS=627100350 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=627100350,EMENDAR CONDUTOR(ES=1  [PS=627100350,1-CABO  AL NU CAA  4 AWG - COM ALMA  ]
492832;SERVICO     : EQUIPE      : CA911VEIC. ALOC. : E3B37DATA        : 22/09/25 03:17 POR ADMSODREGIAO      : FBL 01 - FRANCISCO BELTRAOTIPO        : MENSAGEM LIVREMENSAGEM    : CABO ROMPIDO PS 949465548 BEIRA ESTRADA ABERTO GLV NO PS 949465539 E TRIP 11210 FICOU FECHADA
492833;SERVICO     : EQUIPE      : CA401VEIC. ALOC. : E2277DATA        : 22/09/25 03:40 POR ADMSODREGIAO      : SNA 01 - SANTA HELENATIPO        : MENSAGEM LIVREMENSAGEM    : FAVOR GERAR NDS EMENDAR CABOS E ROSADA DO PS 795902799 ATE O PS 795902797    CABO  4WG .  TRAZER 50 MTROS CABO 4WG FICOU A ERTO AS DUAS GM 16827 E 16913   ,POSTES ANTIGO USAR CAMINHAO COM GUINDASTE PRA SUSTENTAR O POSTE   , TEM ACESO NUM DOS POSTE. (SERVICO DE EMERGENCIA)
492834;TROCA DE ISOLADOR QUEBRADO , E CRUSETA QUEBRADA , E FASER IMENDA DE CABO MT , LOCAL DE FSIL ACESSO , NO PS 780928408 AO PS 7809266315 (SERVICO DE EMERGENCIA)
492835;CHAVE 11669 COM CABO ROMPIDO ARVORE NA REDE  A MESMA FOI ABERTA E PRECISA 20 METROS CABO E CORTAR ARVORE PRA SUBIR CABO (SERVICO DE EMERGENCIA)
492841;NDS PARA LINHA VIVA REPOR ALCA QUE ROMPEU DO ISOLADOR DE ANCORAGEM NO ALIMENTADOR 7QUEDAS PS 786528163 , NAO TEM RISCO VAO E PEQUENO CABO FICOU UM POUCO BAMBO. LIVRE ACESSO.,  [PS=786528163 V4X4=NAO  CESTO=SIM  LV=SIM  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=NAO  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=786528163,SUBSTITUIR ALCA DE ANCORAGEM=1  
492842;FAVOR GERAR NDS P MANUTENCAO, REDE COMPACTA. ENTRE O PS 570239145 E O PS 570239218 CABO PROTEGIDO 185MM (SERVICO DE EMERGENCIA)
492852;FAVOR GERAR SERVICO PARA REPOSICONAR O CONDUTOR MT NO PS 603904369 AO PS 603904487 ,  LOCAL DE FASIL ACESSO , O TRECHO FICOU MANOBRADO , POREM OS CLIETES FICARA SEM ENERGIA,  [PS=603904369 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=SIM  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=603904369,REFAZER CONEXAO NA REDE=1  
492853;GERAR NDS PRA SUBSTITUIR O ISOLADOR E O CABO UNS 5 METROS DE CABO 2 DA COMPACTA E 1 LUVA E 1 PAREFUSO 45 NO PS 618228759 CHWVE ABERTA NA REDE 8321609015,  [PS=618228759 V4X4=NAO  CESTO=NAO  LV=SIM  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=NAO   TODAREDEINSP=NAO  FONTESUB=NAO]  PS=618228759,SUBSTITUIR ISOLADORES=1  [PS=618228759,1-ISOLADOR PINO POLIMERICO 15KV - RD COMP  PS=618228759,5-CABO DE ALUM. COBERTO 15KV 35MM  ]
492858;REFAZER JUMPE VAI PRECISA DE UM GLV  DEFEITO NO TRONCO CHAVE ABERTA 3239 E 3287,  [PS=779580384 V4X4=SIM  CESTO=SIM  LV=SIM  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=779580384,REFAZER JUMPER=1  
492861;SUBSTIRUIR TR 83216F0362 O MESMO NAO ACEITOU OS TESTES FEITO,  [PS=618880385 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=SIM  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=618880385,TRANSFORMADO QUEIMADO=1  [PS=618880385,1-TRANSF.TRIF.13.2KV  75KVA AUTOPROT.  ]
492863;REALIZAR TROCA DE ISOLADORES. FOI OBSERVADO FOGO NOS ISOLADORES.ORIGEM: GUARDIAO DO DEC DE PROTOCOLO 2025026220.
492868;FAVOR GERAR NDS PARA LV REPOR ESTRIBO DO TR N0662, O MESMO SOLTOU O CUNHA E O JUMPER FICOU SUSPENSO, TR FICOU FECHADO, FEITO PALIATIVO GLV DIRETO NO CABO, BOM ACESSO AO LOCAL, ALIMENTADOR RADIO CLUBE,  [PS=612905986  V4X4=NAO  CESTO=SIM  CHVAB=NAO  JUMPAB=NAO  LV=SIM  CONSDESLIG=NAO  RISCOACID=NAO  AVARIANAREDE=SIM  TODAREDEINSP=SIM  FONTESUB=NAO]  PS=612905986,SUBSTITUIR/INSTALAR ESTRIBO=1  
492873;FAVOR GERAR ND PARA EMENDA DE CONDUTORES , RETIRADA DE ARVORE DE GRANDE PORTE DA REDE E APRUMAR PS LUGAR DE DIFICIL ACESSO SOMENTE APE,  [PS=627230993 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=NAO  FONTESUB=NAO]  PS=627230993,EMENDAR CONDUTOR(ES=1 PS=627230992,APRUMAR POSTE=1  [PS=627230993,1-CABO  AL NU CAA  4 AWG - COM ALMA  ]
492874;COD FAVOR GERAR NDS PARA MANUTENCAO FAZER EMENDA DE CABO DE BT ..NO TR 45807 DIFICIL ACESSO SOMENTE A PE ,,VAO LONGO,, TERA QUE FAZER ROCADA TR FICOU ABERTO ..SEM FOTOS MUITA CHUVA NO LOCAL,,,  [PS=774235250 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=NAO   TODAREDEINSP=NAO  FONTESUB=NAO]  PS=774235250,EMENDAR CONDUTOR(ES=01  
492875;SERVICO     : EQUIPE      : CA432VEIC. ALOC. : E3K62DATA        : 22/09/25 09:37 POR ADMSODREGIAO      : FOZ 01TIPO        : MENSAGEM LIVREMENSAGEM    : BOM DIA . GERAR NDS PRA REFAZER CRUZAMENTO EM REDE DE COMPACTA NO PS 554810962 E REFAZER AMARRACAO NO ISOLADOR .. TRIPS 8321600792 FICOU ABERTA.. AS 9.15.. FAZER COM LINHA VIVA SEM PONTO DE ATERRAMENTO NA REDE COMPACTA. (SERVICO DE EMERGENCIA)8321600792- BSCFOZ
492881;OK GERADO NDS PARA FAZER EMENDA DE CONDUTORES DE AT E BT ENTRE VARIOS PONTOS DO PS 630108231 AO PS 630108416 DEVIDO A GRANDES RAJADAS DE VENTO DERRUBOU ARVORE SOBRE A REDE ROMPENDO OS CONDUTORES FICOU ABERTO A TRIPSAVER 00547 E ABERTO OS GLV DA MESMAS LOCAL DE FACIL ACESSO AO LADO DA ESTRADA,  [PS=630108416 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=SIM  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=630108416,EMENDAR CONDUTOR(ES=5  [PS=630108416,99-CABO AL NU 2 AWG  ]
492882;COD FAVOR GERAR NDS PARA MANUTENCAO FAZER EMENDA DE CABO DE BT ..NO TR 45807 DIFICIL ACESSO SOMENTE A PE ,,VAO LONGO,, TERA QUE FAZER ROCADA TR FICOU ABERTO ..SEM FOTOS MUITA CHUVA NO LOCAL,,,  [PS=774235250 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=NAO   TODAREDEINSP=NAO  FONTESUB=NAO]  PS=774235250,EMENDAR CONDUTOR(ES=01  
492883;TROCA PS QUEBRADO APOS QUEDA DE ARVORE,  [PS=619374964 V4X4=NAO  CESTO=SIM  LV=NAO  CHVAB=SIM  JUMPAB=SIM  RISCOACID=SIM  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=619374964,POSTE AVARIADO/ABALROADO (SUBSTITUIR=1  [PS=619374964,1-POSTE DUPLO T B/300/12,0M  ]
492884;EQUIPE      : E3X97VEIC. ALOC. : E3X97DATA        : 22/09/25 09:52 POR ADMSODREGIAO      : NVL 11 - URB E RUR1TIPO        : MENSAGEM LIVREMENSAGEM    : GERAR NDS PARA EMENDAR CABO ROMPIDO NO PS 626929357 NO MEIO DO MATO CHAVES 58222 E 21687 ABERTAS (SERVICO DE EMERGENCIA)8628858222 - BSCLJS
492885;REFAZER JUMPER NA REDE, CR 1738 ESTA FECHADA NECESSARIO ABRIR PARA EXECUTAR SERVICO,  [PS=612232779 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=SIM  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=NAO  FONTESUB=NAO]  PS=612232779,REFAZER CONEXAO NA REDE=1  
492891;GERAR NDS PARA APRUMAR POSTE E EMENDAR CABOS DE BT NO CIRCUITO DO F1705 NO PS 619800824
492894;SUBST TR DE 45 KVA NA 13,8, - 621841394
492897;CIRTAR ARVORE NA REDE E EMENDAR CABOS,  [PS=619144515 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=619144515,CORTAR ARVORE COM MOTOSSERRA=02 PS=619144515,SUBSTITUIR CRUZETA(S=1 PS=619144515,EMENDAR CONDUTOR(ES=2 PS=619144515,APRUMAR POSTE=1 PS=619144515,TRANSFORMADOR AVARIADO=1  [PS=619144515,20-CABO AL NU 2 AWG  PS=619144515,1-CRUZETA DE CONCRETO TIPO  T   ]
492900;MANUTENCAO EMENDAR CONDUTORES DE AT E BT ROMPIDOS, FOI ABERTO AS CHAVES 11927 E 12295, FACIL ACESSO, TRAZER EMENDA E  PEDACO DE CABO 2-0 CA, EMENDA E CABO 35MM CA COBERTO, FOTOS NO GRUPO., PS 776125092, ATENDE MERCADO SUPER DIA.
492902;FAZER EMENDA CABO DE BT NO CRUZAMENTO, NAO EH NECESSARIO TROCAR TRAFO NEM POSTE. VITAL NO LOCAL RETIRANDO ARVORE DE GRANDE PORTE CAIDA NA REDE,  [PS=619233165 V4X4=NAO  CESTO=SIM  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=619233165,EMENDAR CONDUTOR(ES=2 PS=619233165,CORTAR ARVORE COM MOTOSSERRA=0 PS=619233165,APRUMAR POSTE=0 PS=619233165,TRANSFORMADOR AVARIADO=0  [PS=619233165,5-CABO AL NU 2 AWG  ]
492908;04 POSTES QUEBRADO B600 13,5M   
492909;RETIRAR ARVORE POR CIMA DA REDE E EMENDA DE CONDUTORES  CRUZAMENTOS,  [PS=619795793 V4X4=NAO  CESTO=SIM  LV=NAO  CHVAB=SIM  JUMPAB=SIM  RISCOACID=SIM  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=619795793,RETIRAR GALHOS/CASCAS DA REDE=3  [PS=619795793,10-CABO  AL NU 4/0  ]
492911;REFERENTE A NOC 50528523 CABOS DE BT ROMPIDOS NO CIRCUITO DO TR 70208 NO PS 616938462, TR ABERTO E TRONCO DO ALIMENTADOR FRIO NO TRECHO- GERAR NDS TRAZER UM POSTE E EMENDA DE CABO 2/0
492916;QUANDO POSSIVEL PRA REFAZER ESTAI NO PS DA CHAVE 02616 E RETENCIONAR CABOS DE AT NO PS771995663 ATE PS 771995664 LOCAL LIVRE ACESSO. (SERVICO DE EMERGENCIA)   
492922;REFAZER CRUZAMENTO CF ABERTA E SINALIZADA, REFAZER CRUZAMENTO CF ABERTA E SINALIZADA, PS=582501231
492928;EFETUAR EMENDA DE CONDUTOR DE BT, REALIZAR PODAS, SUBST 3 CF DO TR E RETIRAR NINHO DAS BUCHAS DE BT DO TR,  [PS=772626506 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=772626506,EMENDAR CONDUTOR(ES=4 PS=772626506,APRUMAR POSTE=0 PS=772626317,TRANSFORMADOR AVARIADO=0 PS=772626506,PODAR ARVORE=3  
492930;O F 1860 FICOU ABERTO COM A PLAQUINGA  FAVOR TRAZER8 LUVAR CABO 2 WG  E UM MUG PRA TIRAR ARVORE DE GRANDE PORTE,  [PS=619845070 V4X4=NAO  CESTO=SIM  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=SIM  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=NAO  FONTESUB=NAO]  PS=619845070,PODAR ARVORE=1 PS=619845070,CORTAR ARVORE COM MOTOSSERRA=1  [PS=619845070,20-CABO AL NU 2 AWG  ]
492934;GERAR NDS PARA REFAZER JUMPER LADO FONTE DA CF 05516 A MESMA ESTA NA TRONCO DO ALIMENTADOR IPE ROXO CF 05516 ABERTA E SINALIZADA,  [PS=616905835 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=616905835,REFAZER JUMPER=1  
492935;FAVOR  GERA  NDS  PRA  EMENDA CABO  PROXIMO  PES 594180272  E PROXIMO TR D5961   TR3CHO MANOBRADO  PELAS CH  18405 E 18307  ABERTAS  TRQZER  ALCA PRA CABO 35MM  ACESSO BOM  FT NO GRUPO NDS,  [PS=594180272 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=SIM]  PS=594180272,PODAR ARVORE=01 PS=594180272,APRUMAR POSTE=01 PS=594180272,EMENDAR CONDUTOR(ES=01 PS=594180272,TRANSFORMADOR COM VAZAMENTO=01  [PS=594180272,3-TRIPLEX AL 35 MM2  ]
492943;EMENDA DE CABO 3X2X25 VAO LONGO NO PS 882032618 BOM ACESSO CHAVE 8628890932 ESTA ABERTA NO LOCAL VERIFICAR ESSE PS ESTA BM TORTO NO LOCAL OK TAZER UMA EMENDA 3X2X25 FAZER CORTE DE UMA ARVORE GRANDE OK (SERVICO DE EMERGENCIA)
492944;ALIMENTADOR LEEDS, PONTO CRITICO POSSIVEL ABERTURA DO LEEDS HOJE. PINHEIRO PROXIMO AO PS 610733576. ARVORES SOBRE A REDE, PS ANTERIOR 553798560, 610733664, 610733665. TODOS OS PONTOS JA FORAM APONTADOS EM GSIM FEITO ANTERIORMENTE. (SERVICO DE EMERGENCIA)
492948;CABECA DO PS 576739502 QUEBRADA, NEXESSARIK AVALIAR SUBSTITUICAO OU MOLETAR O MESMO. EMENDAR CONDUTOR, EQP N REALIZOU POR POSSIBILIDSDE DE ROMPER OU DESLOCAR PS QUEBRADO.,  [PS=576739506 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=576739506,EMENDAR CONDUTOR(ES=1 PS=576739506,POSTE AVARIADO/ABALROADO (SUBSTITUIR=1 PS=576739506,PODAR ARVORE=1 PS=576739506,TRANSFORMADOR AVARIADO=1  [PS=576739506,5-CABO  AL NU CAA  4 AWG - COM ALMA  PS=576739506,1-POSTE DUPLO T B/300/12,0M  ]
492949;FAVOR GERAR NDS PARA EMENDA DE CABOS NO PS 612407421 ROMPEU OS 4 CABOS,  [PS=612407421 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=NAO  FONTESUB=NAO]  PS=612407421,EMENDAR CONDUTOR(ES=4  [PS=612407421,30-CABO AL NU 2 AWG  ]
492952;REFAZER 2 CRUZAMENTO AEREO,  [PS=619150454 V4X4=NAO  CESTO=SIM  LV=NAO  CHVAB=SIM  JUMPAB=SIM  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=619150454,REFAZER CRUZAMENTO AEREO=3  [PS=619150454,5-CABO  AL NU 4/0  ]
492954;JUMPER DE BR ABERTO NO PS 621818755 TRAZER CABO 2 AWG E ALCA DE REDE TRAFO FICOU FECHADO SE POSSIVEL FAZER COM CESTO,  [PS=621818755 V4X4=NAO  CESTO=SIM  LV=NAO  CHVAB=NAO  JUMPAB=SIM  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=621818755,RETIRAR GALHOS/CASCAS DA REDE=5 PS=621818755,EMENDAR CONDUTOR(ES=3  [PS=621818755,15-CABO AL NU 2 AWG  ]
492957;GERAR NDS PARA MANUTENCAO RETIRAR GALHO DE GRANDE PORTE DE EUCALIPTO SOBRE A REDE E FAZER ROCADA DE BAMBU PROX AO TR G2344, FOI ABERTO GLV NO PS 952012174 E FECHADO A CF 11915 AS 11:28 HRS, LOCAL DE DIFICIL ACESSO.,  [PS=561655537 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=SIM  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=561655537,RETIRAR GALHOS/CASCAS DA REDE=1  [PS=561655537,1-CABO  AL NU CAA  4 AWG - COM ALMA  ]
492959;EM MENDAR CABO DE BT CRUZAMENTO AERE TRAFO FICOU ABERTO 83240A0527,  [PS=775758741 V4X4=SIM  CESTO=SIM  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=775758741,EMENDAR CONDUTOR(ES=1  
492961;RETIRAR GALHOS DE GRANDE PORTE  NA REDE BT  PONTAS NA AT COMPACTA NECESSARIO CESTO E CAMINHQ MUNK,  [PS=619644340 V4X4=NAO  CESTO=SIM  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=SIM  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=NAO  FONTESUB=NAO]  PS=619644340,PODAR ARVORE=1 PS=619644340,APRUMAR POSTE=1  
